1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
420	-1.110766	93.357876	12.552593	0.000556	0.6
421	-1.083123	93.890556	12.494394	0.000952	0.6
422	-1.117301	93.896497	12.493748	0.000656	0.5
423	-1.120088	93.887087	12.494771	0.000632	0.5
424	-1.141259	93.916704	12.491551	0.000502	0.5
425	-1.118361	93.887109	12.494769	0.000999	0.5
426	-1.096470	94.090563	12.472681	0.000934	0.5
427	-1.081275	94.060740	12.475914	0.000647	0.5
428	-1.144711	94.449370	12.433917	0.001114	0.5
429	-1.108839	95.268348	12.346334	0.000909	0.5
430	-1.105865	96.268348	12.241052	0.000828	0.5
431	-1.102979	96.466473	12.220405	0.001866	0.5
432	-1.150228	96.436650	12.223508	0.001645	0.6
433	-1.082271	97.436650	12.120301	0.001117	0.5
434	-1.133088	97.406828	12.123354	0.001178	0.5
435	-1.100788	98.406824	12.021825	0.000920	0.5
436	-1.141596	99.406824	11.921981	0.001199	0.5
437	-1.117860	100.403355	11.824120	0.000989	0.5
438	-1.124687	100.373532	11.827026	0.000889	0.5
439	-1.092613	101.373145	11.730416	0.000865	0.5
440	-1.105693	102.372604	11.635386	0.000901	0.5
441	-1.120588	103.372604	11.541834	0.001539	0.6
442	-1.144266	104.372592	11.449774	0.000890	0.6
443	-1.127869	104.342770	11.452499	0.001010	0.6
444	-1.124892	105.342767	11.361853	0.000976	0.6
445	-1.137873	106.342767	11.272630	0.001652	0.6
446	-1.105371	106.312945	11.275270	0.001727	0.5
447	-1.158592	106.283123	11.277912	0.001105	0.6
448	-1.127460	107.283123	11.189998	0.001271	0.5
449	-1.140086	108.283123	11.103444	0.001544	0.5
450	-1.141377	109.280158	11.018469	0.000485	0.5
451	-1.103755	110.280154	10.934538	0.001337	0.6
452	-1.128983	110.250334	10.937023	0.000925	0.5
453	-1.098450	110.220516	10.939508	0.000914	0.5
454	-1.104370	110.190698	10.941994	0.000514	0.6
455	-1.130814	110.161031	10.944469	0.000497	0.5
456	-1.099054	110.561136	10.911185	0.001405	0.5
457	-1.099461	110.535203	10.913336	0.001334	0.5
458	-1.126416	110.505380	10.915811	0.000927	0.5
459	-1.144050	110.475559	10.918287	0.001695	0.5
460	-1.151032	111.470166	10.836311	0.001210	0.5
461	-1.144840	111.470004	10.836324	0.000827	0.5
462	-1.086319	111.662359	10.820612	0.000706	0.5
463	-1.118641	111.632549	10.823044	0.001150	0.5
464	-1.134717	112.625640	10.742608	0.000914	0.6
465	-1.117231	112.596547	10.744948	0.001047	0.6
466	-1.121198	113.596547	10.665117	0.001134	0.6
467	-1.096379	113.611256	10.663951	0.000531	0.7
468	-1.097151	114.606616	10.585677	0.001399	0.6
469	-1.128831	115.606615	10.508187	0.000594	0.6
470	-1.126521	115.686576	10.502040	0.001022	0.6
471	-1.130483	116.686572	10.425765	0.001240	0.6
472	-1.115014	117.686572	10.350590	0.001493	0.5
473	-1.153911	118.686572	10.276492	0.001268	0.6
474	-1.070274	119.405699	10.223858	0.000936	0.5
475	-1.108649	120.405699	10.151556	0.000575	0.6
476	-1.113635	120.376054	10.153685	0.000675	0.5
477	-1.111160	120.349381	10.155601	0.000662	0.5
478	-1.133912	120.495974	10.145079	0.000774	0.5
479	-1.120513	120.466312	10.147207	0.001646	0.5
480	-1.101942	120.436490	10.149346	0.001201	0.5
481	-1.153804	120.406667	10.151487	0.000883	0.5
482	-1.101041	121.406667	10.080201	0.001006	0.6
483	-1.133371	121.380011	10.082089	0.000545	0.7
484	-1.108844	121.350191	10.084201	0.001163	0.6
485	-1.088002	121.320528	10.086302	0.000941	0.5
486	-1.101762	122.320528	10.015927	0.000585	0.6
487	-1.110323	122.290712	10.018011	0.001120	0.7
488	-1.138464	122.260890	10.020096	0.000994	0.8
489	-1.139346	123.260413	9.950671	0.001144	0.7
490	-1.089354	124.260160	9.882186	0.000859	0.6
491	-1.106478	125.233060	9.816439	0.001133	0.6
492	-1.136915	125.203346	9.818434	0.000871	0.5
493	-1.116189	125.173523	9.820437	0.001376	0.5
494	-1.135343	125.143701	9.822441	0.001540	0.5
495	-1.068689	125.113878	9.824446	0.000797	0.5
496	-1.118657	125.206219	9.818241	0.001168	0.5
497	-1.078929	125.196247	9.818911	0.000794	0.5
498	-1.161643	126.175332	9.753590	0.001535	0.5
499	-1.127237	126.507582	9.731621	0.001171	0.6
500	-1.125337	127.507582	9.666092	0.000809	0.6
501	-1.127590	127.477782	9.668032	0.000509	0.5
502	-1.111151	127.907601	9.640125	0.000729	0.5
503	-1.063152	127.878191	9.642029	0.001287	0.5
504	-1.115441	127.848456	9.643956	0.001213	0.5
505	-1.124430	128.647013	9.592493	0.000727	0.5
506	-1.103960	129.646493	9.528850	0.000806	0.7
